remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Unrolling loop 'CHECK_DISTANCE_LOOP' (../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:83:9) in function 'ContourApproximation' completely with a factor of 249
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:152:0: Inlining function 'isDiffer' into 'PointNbReduction'
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Inlining function 'PointNbReduction' into 'ContourApproximation'
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Inlining function 'isDiffer' into 'ContourApproximation'
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Applying array_partition to 'new_p': Complete partitioning on dimension 1.
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_148' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_147' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_146' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_145' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_144' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_143' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_142' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_141' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_140' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_139' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_138' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_137' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_136' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_135' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_134' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_133' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_132' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_131' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_130' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_129' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_128' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_127' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_126' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_125' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_124' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_123' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_122' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_121' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_120' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_119' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_118' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_117' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_116' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_115' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_114' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_113' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_112' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_111' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_110' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_109' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_108' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_107' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_106' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_105' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_104' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_103' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_102' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_101' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_100' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_99' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_98' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_97' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_96' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_95' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_94' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_93' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_92' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_91' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_90' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_89' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_88' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_87' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_86' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_85' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_84' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_83' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_82' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_81' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_80' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_79' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_78' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_77' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_76' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_75' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_74' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_73' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_72' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_71' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_70' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_69' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_68' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_67' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_66' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_65' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_64' with compact=bit mode in 64-bits
